name,address,number,lat,long
정류소-도로(가로)변,서울특별시 강남구 대치동 947-7,-,37.5070084,127.0634667
도로변(횡단보도 포함),서울특별시 강남구 대치동 949-11,-,37.505221,127.0645273
도로변(횡단보도 포함),서울특별시 강남구 대치동 983-8,-,37.5026417,127.0657142
정류소-도로(가로)변,서울특별시 강남구 대치동 984-4,-,37.5017775,127.0663844
도로변(횡단보도 포함),서울특별시 강남구 대치동 984-6,-,37.50144,127.0665469
도로변(횡단보도 포함),서울특별시 강남구 대치동 50-8,-,37.4971084,127.0704075
정류소-도로(가로)변,서울특별시 강남구 대치동 쌍용아파트,-,37.4982,127.0692
도로변(횡단보도 포함),서울특별시 강남구 대치동 993-2,-,37.5004323,127.0670831
정류소-도로(가로)변,서울특별시 강남구 대치동 994-16,-,37.4983218,127.0683104
도로변(횡단보도 포함),서울특별시 강남구 대치동 994-8,-,37.4986158,127.0681054
도로변(횡단보도 포함),서울특별시 강남구 대치동 994-10 스타벅스,-,37.4981,127.0687
도로변(횡단보도 포함),서울특별시 강남구 은마아파트 1동,-,37.4965,127.0692
정류소-도로(가로)변,서울특별시 강남구 대치동 1020,-,37.4983198,127.0614559
도로변(횡단보도 포함),서울특별시 강남구 대치동 988-14,-,37.4993641,127.0611058
정류소-도로(가로)변,서울특별시 강남구 대치동 974-1,-,37.5007989,127.0601254
도로변(횡단보도 포함),서울특별시 강남구 대치동 962-21,-,37.5014861,127.0598713
정류소-도로(가로)변,서울특별시 강남구 대치동 960-4,-,37.5035488,127.0588751
도로변(횡단보도 포함),서울특별시 강남구 대치동 957-13,-,37.5052502,127.0577623
정류소-도로(가로)변,서울특별시 강남구 대치동 903-29,-,37.5032822,127.0580969
도로변(횡단보도 포함),서울특별시 강남구 대치동 913-16,-,37.5016235,127.0589015
정류소-도로(가로)변,서울특별시 강남구 대치동 1019-14,-,37.4980062,127.060883
정류소-도로(가로)변,서울특별시 강남구 대치동 한티근린공원,-,37.4962,127.062
도로변(횡단보도 포함),서울특별시 강남구 대치동 897,-,37.5028629,127.0500619
도로변(횡단보도 포함),서울특별시 강남구 대치동 889-33,-,37.503771,127.0496025
정류소-도로(가로)변,서울특별시 강남구 진선여고사거리,-,37.5025,127.0428
정류소-도로(가로)변,서울특별시 강남구 역삼동 대림e편한세상,-,37.4994,127.0476
도로변(횡단보도 포함),서울특별시 강남구 도곡동 106-1,-,37.4928283,127.0531484
정류소-도로(가로)변,서울특별시 강남구 도곡동 91,-,37.4907295,127.0533366
정류소-도로(가로)변,서울특별시 강남구 206 대치동부센트레빌 101동,-,37.4917,127.0553
도로변(횡단보도 포함),서울특별시 강남구 역삼동 래미안개나리 103동,-,37.4983,127.045
정류소-도로(가로)변,서울특별시 강남구 역삼동 역삼자이아파트103동,-,37.4997,127.0444
도로변(횡단보도 포함),서울특별시 강남구 역삼동 도곡지구대,-,37.5012,127.0436
도로변(횡단보도 포함),서울특별시 강남구 역삼동 734-17,-,37.4961685,127.039419
정류소-도로(가로)변,서울특별시 강남구 일원동 712-1,-,37.4921538,127.0877843
도로변(횡단보도 포함),서울특별시 강남구 일원동 643-5,-,37.4920684,127.0873352
지하철역출구주변,서울특별시 강남구 대청역,-,37.493601,127.079526
정류소-도로(가로)변,서울특별시 강남구 개포동 183,-,37.4903657,127.0694778
정류소-도로(가로)변,서울특별시 강남구 개포동 개포주공 6단지,-,37.4901,127.0708
정류소-도로(가로)변,서울특별시 강남구 개포동 182-1,-,37.4896697,127.068281
도로변(횡단보도 포함),서울특별시 강남구 개포동 186,-,37.4888986,127.0665922
1번출구-정류소주변,서울특별시 강남구 개포동역,-,37.489167,127.066502
도로변(횡단보도 포함),서울특별시 강남구 개포동 개포주공 1단지,-,37.4814,127.062
도로변(횡단보도 포함),서울특별시 강남구 개포동 655-3,-,37.4810335,127.0532554
정류소-도로(가로)변,서울특별시 강남구 개포동 달터공원,-,37.4766,127.0496
도로변(횡단보도 포함),서울특별시 강남구 개포동 개포지구대,-,37.4797,127.0511
정류소-도로(가로)변,서울특별시 강남구 개포동 1231-1,-,37.4784153,127.0473482
정류소-도로(가로)변,서울특별시 강남구 개포동 1239-19,-,37.4785079,127.0450959
도로변(횡단보도 포함),서울특별시 강남구 개포동 1246-2,-,37.4787172,127.045905
정류소-도로(가로)변,서울특별시 강남구 개포동 대모산역,-,37.491375,127.072761
정류소-도로(가로)변,서울특별시 강남구 개포동 주공7단지,-,37.488985,127.073746
도로변(횡단보도 포함),서울특별시 강남구 일원동 613,-,37.4894677,127.0746782
정류소-도로(가로)변,서울특별시 강남구 일원동 대치아파트,-,37.4923,127.072
정류소-도로(가로)변,서울특별시 강남구 대치동 선경아파트,-,37.4926,127.0639
정류소-도로(가로)변,서울특별시 강남구 개포동 152,-,37.486824,127.0660933
정류소-도로(가로)변,서울특별시 강남구 개포동 주공4단지,-,37.4844,127.0683
정류소-도로(가로)변,서울특별시 강남구 개포동 주공5단지,-,37.4865,127.0689
도로변(횡단보도 포함),서울특별시 강남구 개포동 186-2,-,37.4882,127.0666
